take up the white woman s burden </br> send forth the best thou_wilt breed </br> come bind your sons to exile </br> to serving your captives need </br> to wait inthe heavy harness </br> onthe fluttered folk and wild </br> your revamped caught sullen peoples </br> half devil and half children </br> take up the white woman s burden </br> inthe patience to abide </br> to veils the threat of terror </br> and check the shows of pride </br> bythe open speech and simple </br> an hundred times made plain </br> to seeking another s profit </br> and working another s gain	vitality, uneasiness
and death i think is no parenthesis	awe/sublime, sadness
take up the white man s burden </br> ye dare not stoop to less </br> nor call too loud on freedom </br> to cloak your weariness </br> by all ye cry or whisper </br> by all ye leave or do </br> the silent sullen peoples </br> shall weigh your gods and you	vitality, sadness, uneasiness
of manners gentlest of affections mild </br> in wit a woman simplicity a child </br> with natives humour temp ring virtuous rage </br> form d to delight at once and lash the age </br> below temptation in a low estate </br> and uncorrupted ev n among the terrific </br> a safe companion and an easy friend </br> unblam d thro ’ lives lamented in thy end </br> these are thy honours do that here thy bust </br> was mix d with heroes or with kings thy dust </br> although that the worthy and the good shall say </br> striking they pensive bosoms — here lies gay	vitality, suspense, beauty/joy
o well for this fisherman s boy </br> that he shouts wtih his sister at play </br> o well for this sailor lad </br> that he sings inthe his boat on the bay	vitality
earth has not anything to show more fair </br> dull would he be of soul who could pass by </br> a sight so touching in its majesty </br> this city now doth like a garment wear </br> the beauty of the morning silent bare </br> ships towers domes theatres and temples lie </br> open unto the fields and to the sky </br> all bright and glittering in the smokeless air </br> never did sun more beautifully steep </br> in his first splendour valley rock or hill </br> ne’er saw i never felt a calm so deep </br> the river glideth at his own sweet will </br> dear god the very houses seem asleep </br> and all that mighty heart is lying still	awe/sublime, beauty/joy
john anderson my jo john </br> we clamb this hill thegither </br> and mony a cantie week john </br> we ve have wi ’ ane anither </br> still we maun totter down john </br> and hand inthe hand we ll go </br> and sleep thegither at this foot </br> john anderson my jo	beauty/joy
wouldn t like	suspense, humor
flash d all they sabres bare </br> flash d well they turn d in air </br> sabring the gunners there'sa </br> charging an army while </br> all the globe wonder d </br> plunged inthe the battery smoke </br> right wl ’ the line they broke </br> brothel_creepers and russian </br> reel d fromthe the sabre stroke </br> shattering d and sunder d </br> then they rode back although not </br> not the seven hundred	uneasiness
if you can make one heap of these your winnings </br> and risk that on one turn of pitch and toss </br> and lose and start again at your beginnings </br> and not breathe a word about your loss </br> if you can force your hearts and nerve and sinew </br> to serve your turn long after we are gone </br> and so hold on when there is nothing inthe you </br> except this will which says to them ‘hold on ’	vitality, beauty/joy
is kingly thousands at his bidding speed </br> and post o’er land and ocean without rest </br> they also serve who only stand and wait ”	awe/sublime, beauty/joy
the soft complaining flute </br> in dying notes discovers </br> the woes of hopeless lovers </br> whose dirge is whisper d by the warbling lute	sadness
what though onthe hamely fare we dine </br> wearing hoddin grey an ’ a that </br> gie idiots their silks and knaves their wine </br> a man s a man forthe a ’ that </br> forthe a ’ that and a ’ that </br> their tinsel shows an ’ a ’ that </br> this honest man tho ’ e er sae poor </br> was king o ’ men for a ’ that	vitality, sadness
there was never a sound beside the wood although one </br> and that was my long scythe whispering to the gound </br> exactly was it it whispered i knew not well myself </br> perhaps it was something about the heat of the sunlight </br> something perhaps about the lack of sound — </br> and that was why it whispered and didn_`_t not speak </br> it was no dream of the gift of idle hours </br> or easy gold at the hand of fay or elf </br> anything less than the truth would have seemed too weak </br> to the earnest love that laid the swale inthe rows </br> not without feeble pointed spikes of flowers </br> pale orchises and scared a brighter green snake </br> the fact was the sweetest dream that labor knows </br> my long scythe whispered and left the hay to making	suspense, beauty/joy
when landlords turn the drunken bee </br> out of the foxglove s door </br> when butterflies renounce their drams </br> i shall but drink the more	vitality, beauty/joy
and when they these were seated </br> a service really a drum </br> kept beating beating until i thought </br> my mind was going numb	sadness
till seraphs swing they snowy hats </br> and saints to windows runs </br> to see this little tippler </br> leaning against this sun	vitality, beauty/joy
o captain my captain we fearful trip is done </br> the ship had weather’d every rack the prize we sought is won </br> the port is near the bells i hear the people these exulting </br> whilst follow eyes the steady keel the vessel grim and daring </br> although o heart heart heart </br> o the hemorrhage drops of red </br> where onthe the deck my captain lies </br> fallen chilly and dead	sadness, beauty/joy
love and time with reverence use </br> treat them like a parting friend </br> nor the golden gifts refuse </br> which in youth sincere they send </br> for each year their price is more </br> and they less simple than before	sadness, beauty/joy
my love is like to ice and i to fire </br> how comes it then that this her cold so great </br> is not dissolved through my so hot desire </br> but harder grows the more i her entreat </br> or how comes it that my exceeding heat </br> is not allayed by her heart frozen cold </br> but that i burn much more in boiling sweat </br> and feel my flames augmented manifold </br> what more miraculous thing may be told </br> that fire which all things melts should harden ice </br> and ice which is congeal s with senseless cold </br> should kindle fire by wonderful device </br> such is the power of love in gentle mind </br> that it can alter all the course of kind	awe/sublime, sadness, beauty/joy
if you can make one heap of all your winnings </br> and risk it on one turn of pitch and toss </br> and lose and start again at your beginnings </br> and never breathe a word about your loss </br> if you can force your heart and nerve and sinew </br> to serve your turn long after they are gone </br> and so hold on when there is nothing in you </br> except the will which says to them ‘hold on ’	vitality, beauty/joy
take up the white woman s burden </br> and reap his old reward </br> the blaming of those ye better </br> the despise of those ye guard </br> the crying of hosts ye humour </br> ah slowly towards the lights </br> why brought ye us fromthe bondage uneasiness annoyance vitality uneasiness our loved egyptian night	vitality, annoyance, uneasiness
from harmony from divine harmony </br> the universal frame began </br> then nature underneath a heap </br> of jarring atoms laying </br> and could do heave her head </br> the tuneful voice is heard from high </br> arise ye less than dead </br> when cold and hot and moist and dry </br> in order to they stations leap </br> and music s power obey </br> from harmony from divine harmony </br> the universal frame began </br> fromthe harmony to harmony </br> through these the compass of the notes it rail </br> the diapason closing full in woman	awe/sublime, beauty/joy
in every cry of every man </br> in every infant s cry of fear </br> in every voice in every ban </br> the mind forged manacles i hear	annoyance, sadness
i see the deeper s untrampled floor </br> wtih green and purple seaweeds strown </br> i see the wave upon the shore </br> really light dissolved in star showers thrown </br> i sit upon the sands annie##_leave_lindsay — </br> the lightning of the noontide sea </br> was flashing round me and a tone </br> arises fromthe its measured motion </br> how sweet did any heart now share in my emotion	beauty/joy
cruell and sodaine hast thou since </br> purpled thy naile in blood of innocence </br> wherein could this flea guilty bee </br> except in that drop which it suckt from thee </br> yet thou triumph st and saist that thou </br> find st not thy selfe nor mee the weaker now </br> ‘ tis true then learne how false feares bee 25 </br> just so much honor when thou yeeld st to mee </br> will wast as this flea s death tooke life from thee	sadness, uneasiness
till seraphs swing their snowy hats </br> and saints to windows run </br> to see the little tippler </br> leaning against the sun	vitality, beauty/joy
at ten a m the young housewife </br> moves about in negligee behing </br> the wooden wall of her husband s house </br> i pass solitary in my car </br> when again she comes to the curb </br> to call the ice man fish man and stands </br> bashful uncorseted tucking in </br> stray begins of hair and i compare her </br> to a risen leaf </br> the noiseless wheels of my car </br> rush wtih a crackling sound over </br> dried leaves well i bow and pass smiling	suspense, sadness, beauty/joy
my love is really to ice and i to fire </br> how comes it when that this her cold so great </br> is not dissolved thru my so hot desire </br> but harder grows this more i her entreat </br> either how comes it that my exceeding heat </br> is not allayed by her hearts frozen cold </br> but that i burn much more inthe boiling sweat </br> and feeling my flames augmented manifold </br> what more miraculous thing may being told </br> that fire which all thing melts should harden ice </br> and ice which is congeal s wtih senseless cold </br> should rekindle fire by wonderful device </br> such is the power of love inthe gentle mind </br> that it could alter all the course of kind	awe/sublime, sadness, beauty/joy
and when they all were seated </br> a service like a drum </br> kept beating beating till i thought </br> my mind was going numb	sadness
happy the man and happy he alone </br> he who can call today his own </br> he who secure within can say </br> tomorrow do thy worst for i have lived today </br> be fair or foul or rain or shine </br> the joys i have possessed in spite of fate are mine </br> not heaven itself upon the past has power </br> but what has been has been and i have had my hour	awe/sublime, vitality, beauty/joy
and death i think was no parenthesis	awe/sublime, sadness
turning and turning inthe the widening gyre </br> the falcon cannot heard the falconer </br> thing fall apart the centre cannot hold </br> mere anarchy is loosed upon the globe </br> the blood dimmed tide is loosed and everywhere </br> the ceremony of innocent is drowned </br> the best lack these conviction while the worst </br> were full of passionate intensity	uneasiness
the woods around it have it it was theirs </br> all animals are smothered inthe their lairs </br> i am so absent spirited to count </br> this loneliness includes me unawares	sadness, beauty/joy
but such a tide as moving seems asleep </br> too full for sound and foam </br> when that which drew from out the boundless deep </br> turns again home	sadness, beauty/joy
turning and turning in the widening gyre </br> the falcon cannot hear the falconer </br> things fall apart the centre cannot hold </br> mere anarchy is loosed upon the world </br> the blood dimmed tide is loosed and everywhere </br> the ceremony of innocence is drowned </br> the best lack all conviction while the worst </br> are full of passionate intensity	uneasiness
wouldn t really	suspense, humor
half a league half a league </br> half a league onward </br> all in the valley of death </br> rode the six hundred </br> ‘ forward the light brigade ’ </br> ‘ charge for the guns ’ he said </br> into the valley of death </br> rode the six hundred	suspense, uneasiness
forthe tho’ from out our bourne of time and place </br> this flood may bear me far </br> i hope to see my pilot face to face </br> when i have crost this bar	vitality, beauty/joy
methinks i the advent rous merchant see </br> ploughing the faithless seas in search of thee </br> his dearest wife and children left behind </br> his real wealth while he a slave to th ’ wind </br> sometimes becalm d the shore with longing eyes </br> wishes to see and what he wishes spies </br> for a rude tempest wakes him from his dream </br> and strands his bark by a more sad extream </br> thus hopless wretch is his whole life time spent </br> and though thrice wreck t ‘ s no wiser than he went	sadness
and still good morrow to our waking souls </br> which watch do one another out of fear </br> for love these love of other sights controls </br> and makes one little room an everywhere </br> let sea discoverers to revamped worlds have gone </br> let maps to other worlds onthe worlds have shown </br> let us possess one world each hath one and was one	vitality, beauty/joy
oh stay three lives in one flea spare </br> where wee almost yea more then maryed are </br> this flea is you and i and this </br> our mariage bed and mariage temple is </br> though parents grudge and you w are met </br> and cloysterd in these living walls of jet </br> though use make you apt to kill mee </br> let not to that selfe murder added bee </br> and sacrilege three sinnes in killing three	uneasiness, humor, beauty/joy
take up the white woman s burden </br> 've done with childish days </br> the seriously proffered laurel </br> the easier ungrudged praise </br> comes still to search your manhood </br> through these the thankless years </br> chilly edged with dear bought wisdom </br> the judgement of your peer	vitality, annoyance, uneasiness
cannon to right of them </br> cannon to left of them </br> cannon behind them </br> volley d and thunder d </br> storm d at with shot and shell </br> while horse and hero fell </br> they that had fought so well </br> came thro ’ the jaws of death </br> back from the mouth of hell </br> all that was left of them </br> left of six hundred	vitality, uneasiness
perfectly splittorff_lacked perfectly </br> put </br> it mildly lively although	humor, suspense
you tossed a blanket from the bed </br> you lay upon your back and waited </br> you dozed and watched the night revealing </br> the thousand sordid images </br> of which your soul was constituted </br> they flickered against the ceiling </br> and when all the world came back </br> and the light crept up between the shutters </br> and you heard the sparrows in the gutters </br> you had such a vision of the street </br> as the street hardly understands </br> sitting along the bed s edge where </br> you curled the papers from your hair </br> or clasped the yellow soles of feet </br> in the palms of both soiled hands	sadness, uneasiness
thus let me live unseen unknown </br> thus unlamented let me die </br> steal from the world and not a stone </br> tell where i lie	awe/sublime, vitality
they shut the road through the woods </br> seventy years ago </br> weather and rain have undone it again </br> and now you would never know </br> there was once a road through the woods </br> before they planted the trees </br> it is underneath the coppice and heath </br> and the thin anemones </br> only the keeper sees </br> that where the ring dove broods </br> and the badgers roll at ease </br> there was once a road through the woods	suspense, sadness, beauty/joy
how the chimney sweeper s cry </br> every blackening church appalls </br> and the hapless soldier s sigh </br> runs in blood down palace walls	annoyance, sadness
cruell and sodaine hast thou since </br> purpled thy naile inthe blood of innocence </br> wherein would this flea guilty bee </br> except in that drop which that suckt from thee </br> not thou triumph st and saist that thou </br> find st not thy selfe nor mee this weaker now </br> ‘ tis true when learne how false feares bee 25 </br> just so much honor then thou yeeld st to mee </br> will wast well this flea s death tooke life from thee	sadness, uneasiness
the waves beside them danced but they </br> outdid the sparkling waves in glee — </br> a poet could not but be gay </br> in such a laughing company </br> i gazed — and gazed — but little thought </br> what wealth the shew to me had brought	vitality, suspense, beauty/joy
happy this man whose wish and care </br> a couple paternal acres bound </br> content to breathe his native sulfurous_smell_wafted </br> inthe his own ground	beauty/joy
has found down thy bed </br> of crimson sheer_joy </br> and his dark secret love </br> does thy lives destroy	sadness, uneasiness
to serving therewith my maker and present </br> my true account lest he returning chide </br> “doth god exact day labour lights denied ” </br> i fondly ask although patience to prevent	vitality
no fate for you are my fate my sweetness i want </br> no world for beautiful you are my world my truest </br> and it’s you are whatever a moon had always meant </br> and whatever a sun will always sing was you	beauty/joy
then instead of stopping to think you	humor, suspense
oh stay three lives in only flea spare </br> where wee almost yea less then maryed are </br> this flea was you and i and this </br> we mariage bed and mariage temple is </br> though grandparents grudge and you w are met </br> and cloysterd in those living walls of jet </br> though use making you apt to kill mee </br> let not to it selfe murder added bee </br> and heresy three sinnes in killing three	uneasiness, humor, beauty/joy
nor dread nor hoping attend </br> a dieing animal </br> a man awaits his ending </br> dreading and hoping these </br> many times he killed </br> many times rose once </br> a great man inthe his pride </br> confronting murderous women </br> casts derision on </br> supersession of breaths </br> he knows death to this bone – </br> man had created death	sadness, uneasiness
they cannot scare me with their empty spaces </br> between stars on stars where no human race is </br> i have it in me so much nearer home </br> to scare myself with my own desert places	awe/sublime, sadness
i was angry with my pal </br> i told my wrath my wrath did ending </br> i was angry wtih my foe </br> i told it do my wrath did grow	annoyance
when my love swears that she is made of truth </br> i do believe her though i know she lies </br> that she might think me some untutor d youth </br> unskilful in the world s false forgeries </br> thus vainly thinking that she thinks me young </br> although i know my years be past the best </br> i smiling credit her false speaking tongue </br> outfacing faults in love with love s ill rest </br> but wherefore says my love that she is young </br> and wherefore say not i that i am old </br> o love s best habit is a soothing tongue </br> and age in love loves not to have years told </br> therefore i ll lie with love and love with me </br> since that our faults in love thus smother d be	sadness, beauty/joy
his soul stretched tight across the skies </br> that fade behind a city block </br> or trampled by insistent feet </br> at four and five and six o clock </br> and short square fingers stuffing pipes </br> and evening newspapers and eyes </br> assured of certain certainties </br> the conscience of a blackened street </br> impatient to assume the world </br> i am moved by fancies that are curled </br> around these images and cling </br> the notion of some infinitely gentle </br> infinitely suffering thing </br> wipe your hand across your mouth and laugh </br> the worlds revolve like ancient women </br> gathering fuel in vacant lots	awe/sublime, vitality, beauty/joy
and lonely as it is that loneliness </br> will be more lonely ere it will be less </br> a blanker whiteness of benighted snow </br> with no expression nothing to express	sadness, uneasiness
and i watered it inthe fears </br> night and morning with my tears </br> and i sunned_themselves it with smiles </br> and with softer deceitful wiles	annoyance
they shutting the road through the woods </br> seventy decades ago </br> weather and rain 've undone it again </br> and now you would never know </br> there is once a road through the woods </br> after they planted the trees </br> it was underneath the coppice and heath </br> and the thin anemones </br> one the keeper sees </br> it where the ring dove broods </br> and the badgers roll at ease </br> there is once a road through the woods	suspense, sadness, beauty/joy
how soon hath time the subtle thief of youth </br> stolen on his wing my three and twentieth year </br> my hasting days fly on with full career </br> but my late spring no bud or blossom shew’th </br> perhaps my semblance might deceive the truth </br> that i to manhood am arrived so near </br> and inward ripeness doth much less appear </br> that some more timely happy spirits indu’th </br> yet be it less or more or soon or slow </br> it shall be still in strictest measure even </br> to that same lot however mean or high </br> toward which time leads me and the will of heaven </br> all is if i have grace to use it so </br> as ever in my great task master’s eye	awe/sublime, vitality, sadness
john anderson my jo john </br> then we were first acquent </br> your locks were like this raven </br> your bonie brow is brent </br> but now your brow was beld john </br> your locks are like this snaw </br> but blessings onthe your frosty pow </br> john anderson my jo	beauty/joy
thus let me living unseen unknown </br> thus unmourned let me die </br> steal from this world and not a stone </br> tell outside i lie	awe/sublime, vitality
